               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 152,            0.024126,            0.008163,                   0,                   0,                   0,                   0,                   0,                   0,           0.0042732,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.028474,           0.0093096,                   0,                   0,                   0,                   0,                   0,                   0,           0.0041438,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.032533,            0.011725,                   0,                   0,                   0,                   0,                   0,                   0,           0.0041438,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.028313,            0.010922,                   0,                   0,                   0,                   0,                   0,                   0,           0.0042716,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.029193,            0.010511,                   0,                   0,                   0,                   0,                   0,                   0,           0.0042716,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.029114,           0.0098146,                   0,                   0,                   0,                   0,                   0,                   0,           0.0041918,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.026163,           0.0097757,                   0,                   0,                   0,                   0,                   0,                   0,           0.0041918,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.026611,           0.0082917,                   0,                   0,                   0,                   0,                   0,                   0,           0.0042375,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.026964,           0.0080439,                   0,                   0,                   0,                   0,                   0,                   0,           0.0042375,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.029346,           0.0089159,                   0,                   0,                   0,                   0,                   0,                   0,           0.0045402,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.026238,           0.0077196,                   0,                   0,                   0,                   0,                   0,                   0,           0.0045402,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.026722,           0.0073846,                   0,                   0,                   0,                   0,                   0,                   0,           0.0049752,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.027836,           0.0086434,                   0,                   0,                   0,                   0,                   0,                   0,           0.0049752,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.026307,           0.0085806,                   0,                   0,                   0,                   0,                   0,                   0,           0.0048063,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.029309,            0.011123,                   0,                   0,                   0,                   0,                   0,                   0,           0.0048063,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.027919,           0.0070083,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051095,                   0,            0.004522,            0.004522,            0.004522
                 168,             0.02673,           0.0071172,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051095,                   0,            0.004489,            0.004489,            0.004489
                 169,            0.026328,           0.0084243,                   0,                   0,                   0,                   0,                   0,                   0,           0.0050386,                   0,            0.004456,            0.004456,            0.004456
                 170,            0.032185,           0.0095984,                   0,                   0,                   0,                   0,                   0,                   0,           0.0050386,                   0,            0.004423,            0.004423,            0.004423
                 171,            0.030354,             0.00967,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051485,                   0,             0.00439,             0.00439,             0.00439
                 172,            0.029546,            0.010041,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051485,                   0,            0.004357,            0.004357,            0.004357
                 173,             0.02564,            0.011129,                   0,                   0,                   0,                   0,                   0,                   0,           0.0049013,                   0,            0.004324,            0.004324,            0.004324
                 174,            0.022449,           0.0080892,                   0,                   0,                   0,                   0,                   0,                   0,           0.0049013,                   0,            0.004291,            0.004291,            0.004291
                 175,            0.029336,           0.0087656,                   0,                   0,                   0,                   0,                   0,                   0,           0.0049373,                   0,            0.004258,            0.004258,            0.004258
                 176,            0.033354,           0.0079919,                   0,                   0,                   0,                   0,                   0,                   0,           0.0049373,                   0,            0.004225,            0.004225,            0.004225
                 177,            0.029925,            0.010436,                   0,                   0,                   0,                   0,                   0,                   0,           0.0047854,                   0,            0.004192,            0.004192,            0.004192
                 178,            0.026538,            0.012559,                   0,                   0,                   0,                   0,                   0,                   0,           0.0047854,                   0,            0.004159,            0.004159,            0.004159
                 179,            0.022586,           0.0096186,                   0,                   0,                   0,                   0,                   0,                   0,           0.0049356,                   0,            0.004126,            0.004126,            0.004126
                 180,            0.024423,           0.0073554,                   0,                   0,                   0,                   0,                   0,                   0,           0.0049356,                   0,            0.004093,            0.004093,            0.004093
                 181,            0.022763,            0.010036,                   0,                   0,                   0,                   0,                   0,                   0,            0.005099,                   0,             0.00406,             0.00406,             0.00406
                 182,            0.027091,           0.0095086,                   0,                   0,                   0,                   0,                   0,                   0,            0.005099,                   0,            0.004027,            0.004027,            0.004027
                 183,            0.026315,           0.0094816,                   0,                   0,                   0,                   0,                   0,                   0,           0.0050492,                   0,            0.003994,            0.003994,            0.003994
                 184,            0.027232,            0.010812,                   0,                   0,                   0,                   0,                   0,                   0,           0.0050492,                   0,            0.003961,            0.003961,            0.003961
                 185,            0.024949,            0.010453,                   0,                   0,                   0,                   0,                   0,                   0,           0.0052194,                   0,            0.003928,            0.003928,            0.003928
                 186,            0.022759,           0.0096317,                   0,                   0,                   0,                   0,                   0,                   0,           0.0052194,                   0,            0.003895,            0.003895,            0.003895
                 187,            0.028159,           0.0075114,                   0,                   0,                   0,                   0,                   0,                   0,           0.0049824,                   0,            0.003862,            0.003862,            0.003862
                 188,            0.028383,           0.0080459,                   0,                   0,                   0,                   0,                   0,                   0,           0.0049824,                   0,            0.003829,            0.003829,            0.003829
                 189,            0.028679,            0.010679,                   0,                   0,                   0,                   0,                   0,                   0,           0.0048964,                   0,            0.003796,            0.003796,            0.003796
